report_id,timestamp_utc,source,report_text,report_type,image_present,image_url,audio_url,lat,lon,location_text,num_reports_window,time_since_first_hours,location_criticality,reporter_id,status,severity_label,text_length,embedding_32d
f52613f2-de3b-46d4-b4b7-0b1a99d2d243,2025-09-08T13:05:00Z,mobile_app,"Pothole near MG Road, Bengaluru has grown big and is dangerous for two-wheelers.",pothole,0,,,12.97674,77.598836,"MG Road, Bengaluru",2,43.35,1,51d5a7c6-078e-4252-8308-91729b83454d,in_progress,low,80,"[0.6452, 0.9886, 0.6384, -0.1362, -0.9877, -0.5007, -0.1232, 0.9084, 0.9115, 0.2079, -0.9732, -0.9943, -0.1854, 0.7122, 0.9787, 0.4291, -0.3292, -0.9837, -0.6629, 0.8785, 0.9422, 0.6427, -0.5952, -0.9481, -0.6969, 0.0595, 0.8057, 0.5754, -0.4783, -0.9902, -0.5317, 0.4355]"
34b82c51-6863-4819-803e-2a6ba989fa64,2025-09-11T17:06:00Z,open311_feed,"Large hole on the road in front of Connaught Place, Delhi.",pothole,1,https://example.com/images/980ab7dd-9122-4ba1-ad71-878b1f27aae8.jpg,,28.63098,77.220426,"Connaught Place, Delhi",1,43.86,1,fe440eb4-fd68-445d-bf4f-2a90db15145f,in_progress,low,58,"[0.1627, 0.9818, 0.1515, -0.478, -0.9879, -0.5635, 0.5309, 0.997, 0.9305, 0.3827, -0.7775, -0.9632, -0.348, 0.9812, 0.739, 0.3832, -0.8119, -0.9932, 0.0649, 0.5723, 0.9879, 0.6776, -0.5398, -0.9556, -0.5211, 0.6926, 0.9541, 0.8699, -0.6618, -0.9442, -0.9699, -0.3605]"
2cccae4d-bd62-4b4d-9deb-61235614ac82,2025-09-10T09:48:00Z,phone_call,"Garbage piled up beside the street outside MG Road, Bengaluru.",garbage,0,,,12.977134,77.60121,"MG Road, Bengaluru",1,51.89,1,,open,low,62,"[0.2637, 0.9975, 0.8573, -0.289, -0.9667, -0.3234, 0.5586, 0.8306, 0.7981, 0.2436, -0.9966, -0.641, -0.2647, 0.8784, 0.8908, 0.527, -0.8697, -0.9662, -0.0709, 0.6294, 0.9132, 0.6186, -0.0283, -0.9334, -0.2513, 0.6434, 0.9226, 0.9379, -0.5677, -0.9948, -0.9712, 0.07]"
1adabf84-ffcb-4445-9aec-aed6d146a129,2025-09-11T17:38:00Z,phone_call,"Dumped waste near MG Road, Bengaluru, needs cleaning.",garbage,0,,https://example.com/audio/450679ff-706d-4a10-a958-a847c034e61b.wav,12.98176,77.591667,"MG Road, Bengaluru",1,38.83,1,,open,medium,53,"[0.3067, 0.9113, 0.4721, -0.2922, -0.9811, -0.9177, -0.0585, 0.8699, 0.7423, 0.1934, -0.7142, -0.9972, 0.0647, 0.6151, 0.7191, -0.1511, -0.355, -0.9992, -0.1796, 0.3567, 0.9588, 0.0556, -0.5479, -0.996, -0.3411, 0.6247, 0.8712, 0.9236, -0.1561, -0.9125, -0.8128, 0.3081]"
fea6bd9a-4dca-458f-b288-590bfb436266,2025-09-12T13:41:00Z,mobile_app,"Tree branches fallen near MG Road, Bengaluru endangering passersby.",tree_fall,0,,,12.975995,77.598796,"MG Road, Bengaluru",1,62.96,1,fc7b69b9-f88c-450d-9253-941cfe0cbcff,in_progress,medium,67,"[0.7552, 0.8903, 0.4701, -0.3885, -0.7664, -0.9283, 0.4532, 0.8153, 0.8513, -0.0566, -0.9914, -0.6162, -0.391, 0.4221, 0.9681, -0.2168, -0.8806, -1.0, -0.1524, 0.7713, 0.9348, 0.3234, -0.4755, -0.9316, -0.7926, -0.0742, 0.9995, 0.9368, -0.0393, -0.7003, -0.807, 0.4825]"
7da8553f-66ab-4ed3-8d80-76d64f83b754,2025-09-07T23:31:00Z,mobile_app,"Fallen tree blocking the road near Park Street, Kolkata after storm.",tree_fall,0,,,22.56963,88.363952,"Park Street, Kolkata",2,67.79,0,8474ec25-9154-4bb9-a1a5-eed904099999,open,low,68,"[0.0397, 0.8829, 0.4655, -0.4111, -0.9226, -0.8534, 0.377, 0.8578, 0.9165, 0.2897, -0.9393, -0.8953, 0.3548, 0.9798, 0.9918, 0.0867, -0.7546, -0.9841, -0.3069, 0.6102, 0.9588, 0.5989, -0.0776, -0.95, -0.7498, 0.3007, 0.9872, 0.8259, -0.6515, -0.9993, -0.7752, 0.2493]"
5f3ef415-fcb4-4a2c-826c-2d5f6b27a1e8,2025-09-13T10:29:00Z,social_media,"Fallen tree blocking the road near Park Street, Kolkata after storm.",tree_fall,0,,,22.577758,88.359164,"Park Street, Kolkata",0,14.66,0,,open,high,68,"[0.4693, 0.9446, 0.2912, 0.0493, -0.9586, -0.845, -0.276, 0.9966, 0.7087, 0.1621, -0.9678, -0.8493, -0.1382, 0.4289, 0.9981, -0.1742, -0.9306, -0.9646, -0.015, 0.6691, 0.9632, 0.7603, -0.3118, -0.9437, -0.3303, 0.6653, 0.981, 0.8744, 0.0248, -0.7369, -0.5938, 0.4513]"
0b9ca6c1-7309-4e5a-8eaa-229d7bea8d4b,2025-09-12T17:40:00Z,social_media,"Huge pothole right outside Connaught Place, Delhi blocking traffic.",pothole,0,,,28.637438,77.226834,"Connaught Place, Delhi",0,66.56,1,,open,low,67,"[0.6209, 0.9865, 0.7792, -0.0176, -0.9999, -0.7837, -0.242, 0.9274, 0.9409, -0.4739, -0.7985, -0.6786, 0.3002, 0.6104, 0.8664, 0.3046, -0.5402, -0.9782, -0.0762, 0.4808, 0.996, 0.3066, -0.7529, -0.9735, -0.8935, 0.6775, 0.9038, 0.6394, -0.6512, -0.6918, -0.7307, -0.0702]"
ac8e3a7f-baf6-4651-8787-4ad0ca78a1f2,2025-09-11T20:27:00Z,mobile_app,"Garbage piled up beside the street outside Marine Drive, Mumbai.",garbage,0,,,18.945105,72.823794,"Marine Drive, Mumbai",2,51.8,0,,in_progress,medium,64,"[0.3562, 0.8772, 0.4594, -0.1875, -0.9217, -0.4216, 0.4228, 0.8506, 0.8981, 0.0164, -0.8292, -0.9553, -0.4251, 0.754, 0.6944, 0.0306, -0.9302, -0.9438, -0.5215, 0.643, 0.9131, 0.6475, -0.4248, -0.9998, -0.46, 0.3262, 0.966, 0.8727, -0.1975, -0.9984, -0.581, -0.2438]"
dd181db6-e36e-46a3-a374-2ccdb19b208d,2025-09-12T01:52:00Z,phone_call,"Overflowing garbage bin near MG Road, Bengaluru with foul smell.",garbage,1,https://example.com/images/7fa0ba5e-6a4d-4cb5-923b-794e06ad1683.jpg,https://example.com/audio/9da739d9-e757-4359-8e71-6c389edbc11a.wav,12.976476,77.600811,"MG Road, Bengaluru",0,3.33,1,,in_progress,medium,64,"[0.695, 0.9934, 0.2527, -0.4206, -1.0, -0.7828, 0.1162, 0.7607, 0.6722, -0.451, -0.9909, -0.6295, 0.2105, 0.6072, 0.7857, 0.0121, -0.6864, -0.9614, 0.0679, 0.2685, 0.9591, 0.5025, -0.5141, -1.0, -0.728, 0.5831, 0.9661, 0.4433, -0.5792, -0.9137, -0.4874, 0.03]"
a8da7a49-605b-42eb-b3b4-01acde9877e8,2025-09-08T19:40:00Z,mobile_app,"Fallen tree blocking the road near City Mall, Pune after storm.",tree_fall,0,,,18.519481,73.861336,"City Mall, Pune",2,19.56,0,7474fda2-0d67-4bea-8651-823f9ada30fc,open,high,63,"[0.1379, 0.9429, 0.4328, -0.5353, -0.7972, -0.7679, 0.2565, 0.9055, 0.9384, 0.0046, -0.9959, -0.8318, 0.1288, 0.9609, 0.809, 0.3218, -0.2935, -0.9973, -0.0959, 0.8436, 0.8612, 0.5414, -0.6863, -0.9999, -0.5051, 0.0877, 0.8851, 0.7436, 0.2429, -0.8732, -0.6719, -0.0116]"
d48f2bb9-f50b-4037-a62b-58181864976c,2025-09-08T00:23:00Z,phone_call,"Overflowing garbage bin near City Mall, Pune with foul smell.",garbage,0,,https://example.com/audio/0c88af1a-8993-4ec5-943a-1321946f6a74.wav,18.528012,73.865422,"City Mall, Pune",1,62.41,0,327756e9-57c6-4e0f-b188-15f0163a57cf,open,high,61,"[0.3215, 0.9933, 0.7202, -0.6728, -0.9072, -0.3259, 0.1379, 0.9998, 0.816, -0.3186, -0.587, -0.5765, -0.3355, 0.4814, 0.6821, 0.6192, -0.3175, -0.9995, -0.0103, 0.6974, 0.9835, 0.4948, -0.1229, -0.9265, -0.6192, 0.1232, 0.9445, 0.6198, -0.6361, -0.992, -0.5957, -0.2495]"
e6558623-f2e2-4e3d-9418-47809782d219,2025-09-10T11:31:00Z,mobile_app,"Pole light outside Marine Drive, Mumbai flickering badly.",streetlight,0,,,18.943684,72.825694,"Marine Drive, Mumbai",0,17.49,0,,open,critical,57,"[0.6321, 0.9726, 0.3385, -0.4117, -0.783, -0.682, 0.3694, 0.7074, 0.7013, 0.4006, -0.8389, -0.8801, -0.1325, 0.7144, 0.7287, 0.2457, -0.4305, -0.9947, -0.322, 0.718, 0.9809, 0.0715, -0.7058, -0.9953, -0.3022, 0.4437, 0.9282, 0.8567, -0.6133, -0.8439, -0.8221, 0.3283]"
9a75608c-d717-4571-a917-bea83db8cbc1,2025-09-09T04:52:00Z,mobile_app,"Garbage piled up beside the street outside Park Street, Kolkata.",garbage,0,,,22.576537,88.360071,"Park Street, Kolkata",0,63.38,0,,open,low,64,"[0.0102, 0.9297, 0.8704, -0.5468, -0.9751, -0.5012, 0.3962, 0.9784, 0.804, -0.3599, -0.6196, -0.9746, 0.1251, 0.6742, 0.9029, 0.2326, -0.7332, -0.9893, -0.1034, 0.4629, 0.9604, 0.6596, -0.2573, -0.9042, -0.8077, -0.0132, 0.986, 0.49, 0.0891, -0.8088, -0.8027, 0.3038]"
4ae4ccc9-3e0a-4ca2-b4ef-2ef2d3fd24ff,2025-09-12T17:01:00Z,mobile_app,"Large hole on the road in front of Park Street, Kolkata.",pothole,0,,,22.567627,88.354744,"Park Street, Kolkata",0,39.84,0,,open,low,56,"[0.7633, 0.9968, 0.2656, -0.4191, -0.9706, -0.7465, -0.0987, 0.6948, 0.4651, -0.0529, -0.985, -0.919, -0.4726, 0.8739, 0.9965, 0.5301, -0.7545, -0.9997, 0.1439, 0.2657, 0.9414, 0.3754, -0.7171, -0.944, -0.573, 0.3125, 0.9662, 0.4024, -0.6561, -0.8578, -0.7138, 0.1925]"
